"";"chain_type";"flow";"storage_transport";"processing";"distribution";"Consumption"
"1";"Cereals";"cont";8928571,25254227;8605514,50229021;8167850,61853291;6275018,63011527
"2";"Cereals";"waste";262885,747457727;323056,750252062;437663,883757303;1892831,98841764
"3";"Potatoes & roots";"cont";4790132,55941561;4587572,67464214;4341659,41833793;3263226,43871953
"4";"Potatoes & roots";"waste";294054,440584392;202559,884773472;245913,256304208;1078432,9796184
"5";"Vegetables";"cont";7402958,20632578;7196393,47476017;6601054,46363379;5216420,22573632
"6";"Vegetables";"waste";409485,793674219;206564,731565614;595339,011126376;1384634,23789747
"7";"Fruits";"cont";6834882,84284652;6493140,24130109;5884979,68183969;4780026,71061226
"8";"Fruits";"waste";483221,157153478;341742,601545436;608160,559461395;1104952,97122743
"9";"Pulses, beans & nuts";"cont";849788,172229119;799028,66065026;788502,209133754;762759,483008108
"10";"Pulses, beans & nuts";"waste";26201,8277708815;50759,5115788583;10526,451516506;25742,7261256468
"11";"Vegetable oils";"cont";1599903,73111312;1562203,61477504;1545222,67345069;1383676,24648491
"12";"Vegetable oils";"waste";10779,2688868832;37700,1163380794;16980,9413243518;161546,426965775
"13";"Milk & products";"cont";21691162,0722008;21382957,1059969;21089782,0821594;18449674,8256846
"14";"Milk & products";"waste";135483,927799206;308204,966203911;293175,023837485;2640107,25647484
"15";"Eggs";"cont";973937,622792723;948176,119718809;931998,137563457;812569,961486279
"16";"Eggs";"waste";35590,377207277;25761,5030739143;16177,9821553522;119428,176077177
"17";"Fish";"cont";1012075,33137112;945515,309552272;849551,914881709;757485,151405957
"18";"Fish";"waste";26583,668628883;66560,0218188453;95963,3946705632;92066,7634757518
"19";"Meat";"cont";8259109,78027719;8160519,9501241;7950512,26421969;6780033,55472286
"20";"Meat";"waste";146963,524249832;98589,8301530883;210007,685904406;1170478,70949683
"21";"Sugar & Alcohol";"cont";14252054,9762567;13666456,3149239;13367706,0737641;12362542,7964497
"22";"Sugar & Alcohol";"waste";12632,0237433213;585598,661332797;298750,241159806;1005163,27731434
